Gender,Customer_Type,Age,Type_Of_Travel,Class,Fligh_ Distance,Inflight_wifi_service,Departure_Arriva_ time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,Onboard_service,Leg_room_service,Baggage_handling,Checkin_service,Cleanliness,Avg_rating,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes,satisfaction
Male,Loyal Customer,47,Business Travel,Business,406,2,2,2,2,3,5,5,4,4,4,4,5,4,3.54,44,50,TRUE
Male,Loyal Customer,31,Business Travel,Eco Plus,404,4,4,4,4,4,4,4,4,1,2,2,4,4,3.46,17,3,TRUE
Female,Loyal Customer,57,Personal Travel,Eco Plus,500,3,5,3,2,3,4,5,5,5,3,5,4,5,4,0,0,FALSE
Male,Loyal Customer,44,Personal Travel,Eco,689,3,5,3,4,5,3,2,5,4,4,5,3,5,3.92,0,0,FALSE
Male,Loyal Customer,45,Business Travel,Business,3100,3,3,3,3,1,1,3,4,4,4,4,3,1,2.85,0,0,TRUE
Male,Disloyal Customer,13,Business Travel,Eco,525,2,2,2,3,3,2,3,3,3,1,3,1,3,2.38,0,0,FALSE
Male,Loyal Customer,60,Personal Travel,Eco,931,0,5,0,3,4,0,3,4,4,5,5,4,4,3.15,0,0,TRUE
Female,Disloyal Customer,41,Business Travel,Business,304,5,5,5,3,2,5,2,2,3,4,4,4,2,3.54,31,19,TRUE
Male,Loyal Customer,30,Business Travel,Business,1896,4,1,1,1,4,4,4,4,2,2,3,4,4,2.92,81,72,FALSE
Female,Loyal Customer,51,Business Travel,Eco Plus,261,5,4,4,4,4,3,1,5,5,5,5,1,1,3.62,0,0,TRUE
Female,Loyal Customer,61,Business Travel,Eco,347,2,5,5,5,5,2,4,3,3,2,3,3,4,3.54,0,11,TRUE
Female,Loyal Customer,32,Business Travel,Eco,1042,4,1,1,1,4,4,4,4,4,3,1,5,4,3.08,35,34,TRUE
Female,Loyal Customer,39,Personal Travel,Eco,1773,4,5,4,5,5,4,5,5,2,2,3,3,5,4,14,18,FALSE
Male,Loyal Customer,19,Personal Travel,Business,342,3,1,3,2,3,3,3,3,2,1,3,1,3,2.38,0,0,FALSE
Female,Loyal Customer,15,Personal Travel,Eco Plus,297,1,5,1,3,5,1,5,5,5,1,1,3,5,3.15,67,62,FALSE
Female,Disloyal Customer,42,Business Travel,Business,883,3,3,3,3,3,3,4,3,5,2,4,3,3,3.23,22,27,TRUE
Female,Loyal Customer,16,Personal Travel,Eco,332,2,5,2,1,3,2,4,3,5,4,5,4,3,3.31,40,52,FALSE
Male,Loyal Customer,19,Business Travel,Business,2388,5,5,5,5,4,5,4,4,5,5,1,5,4,4.38,0,0,TRUE
Female,Loyal Customer,29,Personal Travel,Eco,748,2,5,2,2,5,2,1,5,4,2,4,3,5,3.23,0,0,FALSE
Female,Disloyal Customer,27,Business Travel,Eco Plus,1080,3,3,3,3,3,3,3,3,4,1,3,3,3,2.92,0,0,FALSE
Male,Disloyal Customer,22,Business Travel,Business,231,5,0,5,4,5,5,5,5,3,4,4,3,5,4.08,0,0,TRUE
Female,Loyal Customer,15,Personal Travel,Eco,551,3,4,3,3,4,3,4,4,1,1,4,2,4,3.08,3,0,FALSE
Male,Disloyal Customer,11,Business Travel,Eco,972,1,1,1,3,1,1,1,1,4,3,4,2,1,1.85,0,0,FALSE
Female,Loyal Customer,34,Personal Travel,Eco,265,4,3,4,3,5,4,5,5,2,5,2,1,5,3.69,0,23,FALSE
Female,Disloyal Customer,26,Business Travel,Eco,488,2,0,2,4,1,2,1,1,3,2,5,1,1,1.92,0,0,FALSE
Female,Loyal Customer,26,Personal Travel,Eco,1144,3,5,2,2,4,2,4,4,5,4,5,3,4,3.62,0,0,FALSE
Male,Loyal Customer,53,Business Travel,Business,2332,5,5,5,5,5,5,5,4,4,5,4,4,3,4.54,0,3,TRUE
Male,Loyal Customer,36,Business Travel,Business,3024,4,2,2,2,1,3,4,4,4,4,4,4,1,3,30,13,FALSE
Male,Loyal Customer,32,Business Travel,Business,1750,1,5,4,5,1,1,1,1,1,1,2,4,1,2.15,0,0,FALSE
Male,Loyal Customer,20,Personal Travel,Eco,483,2,3,2,3,5,2,5,5,5,2,3,2,5,3.38,91,82,FALSE
Female,Loyal Customer,35,Business Travel,Business,2128,2,2,2,2,1,5,1,4,4,4,4,5,4,3.08,0,0,TRUE
Male,Loyal Customer,15,Personal Travel,Eco,235,2,4,2,1,1,2,1,1,3,3,4,4,1,2.23,1,10,FALSE
Male,Loyal Customer,52,Personal Travel,Eco,689,2,5,2,3,3,2,3,3,1,1,2,2,3,2.46,0,0,FALSE
Male,Loyal Customer,45,Business Travel,Business,1852,1,1,1,1,5,5,4,2,2,2,2,5,5,2.77,0,0,TRUE
Female,Disloyal Customer,24,Business Travel,Eco,372,4,4,4,3,3,4,5,3,5,4,4,4,3,3.85,21,23,FALSE
Female,Loyal Customer,46,Business Travel,Business,3705,4,3,3,3,4,3,4,4,4,4,4,4,4,3.69,4,0,FALSE
Male,Disloyal Customer,26,Business Travel,Eco,416,3,0,3,3,1,3,1,1,3,5,2,3,1,2.23,0,9,FALSE
Male,Loyal Customer,28,Business Travel,Eco,337,4,1,1,1,4,4,4,4,1,3,2,3,4,2.77,3,0,FALSE
Male,Loyal Customer,11,Personal Travel,Eco,335,1,5,1,3,3,1,3,3,4,2,4,5,3,2.92,0,0,FALSE
Male,Loyal Customer,45,Business Travel,Business,1400,5,5,5,5,2,5,5,4,4,4,4,3,5,4.31,4,9,TRUE
Male,Loyal Customer,62,Personal Travel,Eco,2521,4,5,4,3,4,1,1,5,3,5,4,1,1,3.15,7,30,FALSE
Female,Loyal Customer,34,Business Travel,Business,374,3,3,3,3,4,4,1,4,4,4,4,5,3,3.46,0,0,TRUE
Male,Loyal Customer,51,Business Travel,Business,308,2,2,2,2,4,5,5,4,4,4,4,3,5,3.54,17,8,TRUE
Female,Loyal Customer,58,Business Travel,Eco Plus,575,1,4,4,4,2,3,4,2,2,1,2,2,4,2.69,14,16,FALSE
Male,Loyal Customer,22,Personal Travel,Eco,618,3,5,3,2,3,3,3,3,4,5,4,5,3,3.54,0,0,FALSE
Male,Loyal Customer,8,Business Travel,Eco,1304,4,4,4,4,4,4,4,4,2,2,4,2,4,3.54,0,0,TRUE
Male,Disloyal Customer,26,Business Travel,Business,351,4,4,4,3,2,4,2,2,4,5,4,4,2,3.38,4,11,TRUE
Female,Loyal Customer,22,Personal Travel,Eco,549,4,0,4,3,3,4,1,3,3,2,5,4,3,3,15,3,FALSE
Female,Loyal Customer,21,Business Travel,Business,3510,3,1,1,1,3,2,3,3,3,3,3,1,3,2.31,0,0,FALSE
Male,Loyal Customer,31,Business Travel,Business,1620,3,2,4,2,3,3,3,3,2,2,2,3,3,2.69,0,0,FALSE
Female,Loyal Customer,44,Personal Travel,Eco,326,2,0,2,2,2,3,5,1,1,2,1,2,5,2.15,0,0,FALSE
Male,Loyal Customer,27,Business Travel,Business,588,2,2,2,2,5,5,5,5,5,2,5,3,5,3.69,0,0,TRUE
Female,Loyal Customer,47,Business Travel,Business,1020,3,1,3,3,2,4,5,5,5,5,5,3,5,3.77,0,0,TRUE
Male,Loyal Customer,24,Business Travel,Business,2903,3,3,3,3,3,3,3,3,4,2,2,2,3,2.85,0,0,FALSE
Male,Loyal Customer,67,Business Travel,Business,2659,1,1,1,1,1,3,3,1,1,1,1,1,1,1.31,0,0,FALSE
Male,Loyal Customer,32,Business Travel,Business,3037,2,2,2,2,4,4,4,4,4,1,1,3,4,2.85,0,0,TRUE
Female,Loyal Customer,58,Personal Travel,Eco,2475,4,4,4,3,4,1,1,3,3,3,4,1,1,2.77,29,10,TRUE
Male,Loyal Customer,12,Personal Travel,Eco,978,4,5,4,5,1,4,1,1,3,4,4,5,1,3.23,0,0,FALSE
Female,Loyal Customer,56,Business Travel,Business,2568,3,1,1,1,5,3,2,3,3,3,3,3,4,2.69,0,0,FALSE
Female,Loyal Customer,58,Personal Travel,Business,371,3,5,5,1,2,3,5,1,1,5,1,3,3,2.92,0,0,FALSE
Male,Disloyal Customer,24,Business Travel,Eco,791,3,3,3,3,5,3,5,5,2,1,3,1,5,3.23,39,6,FALSE
Male,Loyal Customer,68,Personal Travel,Eco,480,3,4,3,3,5,3,5,5,2,4,3,4,5,3.77,7,6,FALSE
Male,Loyal Customer,46,Business Travel,Business,1786,1,1,1,1,3,5,5,5,5,5,5,5,3,3.46,1,7,TRUE
Male,Loyal Customer,43,Business Travel,Business,1849,2,2,2,2,2,4,4,3,3,4,3,3,4,2.92,0,7,TRUE
Female,Loyal Customer,55,Business Travel,Business,3634,0,4,0,4,4,5,5,4,4,1,1,4,3,3,0,0,TRUE
Female,Loyal Customer,54,Personal Travel,Business,844,4,5,5,2,2,4,4,3,3,5,3,3,4,3.62,0,0,FALSE
Female,Loyal Customer,42,Business Travel,Business,3094,5,5,5,5,4,4,5,2,2,2,2,5,3,3.77,0,10,TRUE
Female,Loyal Customer,47,Business Travel,Business,3465,1,3,3,3,3,3,4,1,1,1,1,1,4,2.23,13,15,FALSE
Female,Disloyal Customer,29,Business Travel,Business,1035,1,1,1,1,5,1,5,5,4,4,4,4,5,3.15,0,0,FALSE
Female,Loyal Customer,36,Business Travel,Eco,237,2,4,4,4,2,2,2,2,2,4,2,1,2,2.54,0,0,FALSE
Female,Loyal Customer,50,Business Travel,Business,3175,4,4,4,4,2,4,5,5,5,5,5,4,3,4.15,0,0,TRUE
Female,Loyal Customer,31,Personal Travel,Eco,760,4,2,4,4,1,4,1,1,3,4,4,4,1,2.85,17,27,FALSE
Male,Loyal Customer,13,Personal Travel,Eco,853,1,4,1,4,4,1,4,4,5,2,5,4,4,3.31,105,122,FALSE
Male,Disloyal Customer,24,Business Travel,Eco,446,3,4,4,4,5,4,5,5,4,4,4,2,5,4.08,0,0,FALSE
Female,Loyal Customer,60,Business Travel,Business,1071,2,2,2,2,4,5,1,3,3,4,3,5,1,2.85,0,0,TRUE
Female,Loyal Customer,42,Personal Travel,Eco,728,2,3,2,3,5,3,4,3,3,2,3,3,2,2.92,0,3,FALSE
Female,Loyal Customer,57,Business Travel,Business,2585,2,2,2,2,4,4,4,4,3,5,4,4,4,3.38,0,0,TRUE
Female,Loyal Customer,42,Business Travel,Business,707,2,2,4,2,2,5,4,3,3,4,3,4,3,3.15,27,11,TRUE
Male,Disloyal Customer,20,Business Travel,Eco,861,0,0,0,5,2,0,2,2,4,3,5,3,2,2.15,0,0,TRUE
Female,Loyal Customer,51,Personal Travel,Eco,719,3,5,2,4,3,5,4,4,4,2,4,4,3,3.62,19,0,FALSE
Male,Loyal Customer,45,Business Travel,Business,1790,2,5,2,2,2,4,5,5,5,5,5,3,4,3.77,0,0,TRUE
Female,Loyal Customer,26,Business Travel,Eco Plus,680,5,5,5,5,5,5,5,5,1,4,5,1,5,4.31,12,27,TRUE
Male,Disloyal Customer,26,Business Travel,Eco,888,2,2,2,3,5,2,5,5,4,3,3,2,5,3.31,51,30,FALSE
Female,Loyal Customer,24,Personal Travel,Eco,1660,2,1,2,3,3,2,5,3,1,4,2,2,3,2.54,0,2,FALSE
Male,Loyal Customer,49,Business Travel,Eco,578,5,1,1,1,5,5,5,1,1,1,4,5,5,3.08,162,179,TRUE
Female,Loyal Customer,17,Business Travel,Eco,606,5,1,4,1,5,5,4,5,5,1,2,5,5,3.69,15,15,TRUE
Female,Loyal Customer,39,Business Travel,Business,1487,3,3,3,3,4,4,5,4,4,4,4,4,3,3.69,7,0,TRUE
Female,Loyal Customer,49,Business Travel,Business,317,0,1,1,1,3,4,5,4,4,4,4,4,5,3.08,0,0,TRUE
Female,Loyal Customer,48,Personal Travel,Eco,844,3,4,4,3,4,4,4,4,4,4,4,3,3,3.69,0,1,FALSE
Male,Loyal Customer,52,Business Travel,Business,3747,5,5,5,5,2,4,5,4,4,4,4,5,5,4.38,24,20,TRUE
Female,Loyal Customer,25,Business Travel,Business,2748,4,4,4,4,3,3,3,3,3,2,4,5,3,3.46,0,0,TRUE
Female,Loyal Customer,16,Business Travel,Business,1503,3,5,5,5,3,3,3,3,2,4,3,2,3,3.38,0,0,FALSE
Male,Loyal Customer,58,Business Travel,Business,1717,1,1,1,1,2,4,5,4,4,4,4,5,4,3.08,0,0,TRUE
Male,Disloyal Customer,8,Business Travel,Business,1117,4,3,4,3,3,4,3,3,4,5,4,4,3,3.62,0,7,FALSE
Male,Loyal Customer,42,Business Travel,Business,1372,3,3,5,3,4,4,4,5,4,5,4,4,4,4,141,125,TRUE
Female,Loyal Customer,52,Business Travel,Business,2768,4,1,1,1,2,4,4,4,4,3,4,2,4,2.92,0,0,FALSE
Female,Loyal Customer,47,Business Travel,Eco,370,5,3,3,3,2,1,1,5,5,5,5,3,4,3.46,0,0,TRUE
Female,Loyal Customer,69,Personal Travel,Eco,1546,1,5,1,2,4,3,4,1,1,1,1,4,3,2.38,1,26,FALSE
Female,Loyal Customer,47,Personal Travel,Eco,1023,2,3,3,3,5,3,3,4,4,3,1,3,4,3.15,0,0,FALSE
Female,Loyal Customer,41,Business Travel,Business,3636,1,1,1,1,3,5,4,4,4,4,4,5,2,3,0,0,TRUE
Female,Loyal Customer,40,Personal Travel,Eco,1325,4,4,4,3,1,4,1,1,4,2,4,5,1,2.92,0,9,FALSE
Female,Loyal Customer,56,Personal Travel,Eco,2556,1,4,1,3,3,3,1,5,5,1,5,1,2,2.69,0,0,FALSE
Male,Loyal Customer,41,Business Travel,Business,1052,2,2,2,2,4,4,4,4,4,4,4,3,4,3.31,6,0,TRUE
Female,Loyal Customer,40,Business Travel,Eco,773,3,4,4,4,3,3,3,3,2,5,4,4,3,3.46,15,26,FALSE
Male,Loyal Customer,12,Personal Travel,Business,817,2,3,2,2,1,2,1,1,1,3,5,3,1,2.08,0,0,FALSE
Male,Loyal Customer,59,Personal Travel,Eco,516,4,5,3,4,1,3,1,1,5,3,4,5,1,3.08,3,0,TRUE
Female,Loyal Customer,21,Personal Travel,Eco,447,1,5,1,1,2,1,2,2,3,5,5,3,2,2.54,34,19,FALSE
Male,Loyal Customer,12,Personal Travel,Eco,462,2,4,2,3,2,2,2,2,3,4,2,2,2,2.46,0,0,FALSE
Male,Loyal Customer,31,Business Travel,Eco,361,1,5,5,5,1,1,1,1,2,5,3,4,1,2.69,0,0,FALSE
Female,Loyal Customer,37,Personal Travel,Eco,125,3,2,3,3,2,3,2,2,3,3,3,4,2,2.69,6,4,FALSE
Female,Loyal Customer,38,Personal Travel,Eco,271,4,0,5,3,2,5,2,2,4,2,4,3,2,2.92,0,0,TRUE
Male,Loyal Customer,45,Personal Travel,Eco,173,2,5,0,1,2,0,5,2,5,5,4,4,2,2.85,0,0,FALSE
Male,Loyal Customer,43,Business Travel,Business,1950,3,3,3,3,4,5,4,4,4,4,4,3,5,3.77,0,0,TRUE
Female,Loyal Customer,52,Personal Travel,Eco,719,1,5,2,2,3,5,5,3,3,2,3,3,3,3.08,0,17,FALSE
Female,Loyal Customer,57,Business Travel,Business,153,3,4,4,4,5,3,4,2,2,2,3,4,2,3.23,0,0,FALSE
Female,Loyal Customer,13,Personal Travel,Business,337,2,3,2,3,1,2,1,1,4,5,2,5,1,2.46,0,18,FALSE
Female,Loyal Customer,45,Business Travel,Business,3732,5,5,5,5,5,5,5,5,5,5,5,3,4,4.77,17,0,TRUE
Female,Loyal Customer,43,Business Travel,Business,3854,5,5,5,5,5,4,4,5,5,5,5,5,3,4.69,0,0,TRUE
Male,Loyal Customer,53,Business Travel,Eco,977,2,4,2,4,2,2,2,2,3,2,3,2,2,2.46,20,17,FALSE
Male,Loyal Customer,23,Business Travel,Business,3073,4,4,1,4,5,5,5,5,1,3,1,3,5,3.54,0,3,TRUE
Female,Loyal Customer,16,Personal Travel,Eco,1379,2,5,2,2,2,2,2,2,5,2,4,3,2,2.69,2,0,FALSE
Male,Loyal Customer,23,Business Travel,Eco,631,2,2,2,2,2,1,1,2,3,5,4,3,2,2.38,0,8,FALSE
Male,Loyal Customer,45,Personal Travel,Eco,666,2,5,2,4,4,2,4,4,4,5,5,4,4,3.77,0,0,FALSE
Female,Loyal Customer,46,Business Travel,Business,2820,2,2,2,2,2,1,2,5,5,5,5,2,3,2.92,1,0,TRUE
Female,Loyal Customer,49,Personal Travel,Eco,577,2,5,2,2,3,4,5,1,1,2,1,4,3,2.69,23,2,FALSE
Female,Loyal Customer,40,Business Travel,Business,2808,4,3,3,3,3,3,4,3,3,3,4,4,3,3.31,7,2,FALSE
